plate_position,aryl_halide_smiles,nucleophile_smiles,catalyst_smiles,catalyst_name,base_smiles,base_name,yield_percent,product_smiles
H21,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C(OC)=CC=C4OC)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,BrettPhos Pd G3 41,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H22,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C(OC)=CC=C4OC)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,BrettPhos Pd G3 41,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H23,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C(OC)=CC=C4OC)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,BrettPhos Pd G3 41,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H24,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C2CCCCC2)(C3CCCCC3)C4=C(C5=C(C(C)C)C=C(C(C)C)C=C5C(C)C)C(OC)=CC=C4OC)C6=CC=CC=C6C7=C([NH2]1)C=CC=C7)(=O)=O,BrettPhos Pd G3 41,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,0.0,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H25,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=CC=C2)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuXPhos Pd G3 42,C12=NCCCN1CCCCC2,DBU 24,4.61,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H26,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=CC=C2)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuXPhos Pd G3 42,CN1CCCN2C1=NCCC2,MTBD 25,10.57,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H27,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=CC=C2)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuXPhos Pd G3 42,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,10.64,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H28,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=CC=C2)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuXPhos Pd G3 42,CN1P(N(CC)CC)(N(C)CCC1)=NC(C)(C)C,BEMP 27,4.89,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H29,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=CC=C2)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuXPhos Pd G3 42,CC(N=P(N1CCCC1)(N2CCCC2)N3CCCC3)(C)C,BTTP 28,9.15,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H30,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C=CC=C2)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuXPhos Pd G3 42,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,P2Et 29,16.34,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H31,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuBrettPhos Pd G3 43,C12=NCCCN1CCCCC2,DBU 24,11.58,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H32,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuBrettPhos Pd G3 43,CN1CCCN2C1=NCCC2,MTBD 25,16.39,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
H33,BrC1=CN=CC=C1,NS(C1=CC=CC=C1)(=O)=O,CS(O[Pd]1([P](C(C)(C)C)(C(C)(C)C)C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC=CC=C4C5=C([NH2]1)C=CC=C5)(=O)=O,tBuBrettPhos Pd G3 43,CN(C)/C(N(C)C)=N\C(C)(C)C,BTMG 26,15.52,O=S(C1=CC=CC=C1)(NC2=CN=CC=C2)=O
